0.95, 27.33
0.95, 27.32
0.95, 27.31
0.94, 27.30
1.19, 27.29
1.24, 27.28
1.24, 27.28
1.24, 27.27
1.24, 27.26
1.24, 27.26
1.24, 27.25
1.17, 27.24
1.25, 27.24
1.25, 27.23
1.24, 27.22
1.25, 27.22
1.24, 27.21
1.25, 27.20
1.24, 27.20
1.24, 27.19
1.24, 27.19
1.24, 27.18
1.24, 27.17
1.24, 27.17
1.45, 27.17
1.59, 27.16
1.59, 27.16
1.59, 27.16
1.59, 27.16
1.59, 27.16
1.59, 27.16
1.59, 27.16
1.59, 27.16
1.58, 27.16
1.59, 27.16
1.59, 27.16
1.59, 27.16
1.58, 27.16
1.59, 27.16
1.59, 27.16
1.59, 27.16
1.59, 27.16
1.59, 27.16
1.59, 27.16
1.73, 27.16
1.79, 27.16
1.79, 27.16
1.79, 27.17
1.79, 27.17
1.79, 27.17
1.79, 27.17
1.79, 27.18
1.79, 27.18
1.80, 27.18
1.79, 27.19
1.79, 27.19
1.80, 27.19
1.79, 27.19
1.79, 27.20
1.79, 27.20
1.80, 27.20
1.79, 27.20
1.79, 27.21
1.83, 27.21
1.88, 27.21
2.00, 27.22
2.01, 27.23
2.00, 27.23
2.00, 27.24
2.00, 27.24
2.00, 27.25
2.00, 27.25
2.00, 27.26
2.00, 27.27
2.01, 27.27
2.00, 27.28
2.01, 27.28
2.00, 27.29
2.01, 27.29
2.00, 27.30
2.01, 27.31
2.00, 27.31
2.01, 27.32
2.00, 27.32
2.05, 27.33
2.20, 27.34
2.21, 27.34
2.21, 27.35
2.21, 27.36
2.21, 27.37
2.21, 27.38
2.21, 27.39
2.21, 27.40
2.20, 27.40
2.21, 27.41
2.21, 27.42
2.21, 27.43
2.21, 27.44
2.21, 27.44
2.21, 27.45
2.21, 27.46
2.21, 27.47
2.21, 27.48
2.21, 27.49
2.20, 27.49
2.40, 27.50
2.40, 27.51
2.39, 27.53
2.39, 27.54
2.40, 27.55
2.40, 27.56
2.39, 27.57
2.40, 27.58
2.40, 27.59
2.40, 27.60
2.40, 27.61
2.40, 27.62
2.39, 27.63
2.40, 27.64
2.39, 27.65
2.40, 27.66
2.39, 27.67
2.40, 27.68
2.39, 27.69
2.40, 27.70
2.67, 27.72
2.67, 27.73
2.67, 27.74
2.67, 27.76
2.67, 27.77
2.67, 27.79
2.67, 27.80
2.67, 27.81
2.67, 27.83
2.67, 27.84
2.67, 27.86
2.67, 27.87
2.67, 27.88
2.67, 27.90
2.67, 27.91
2.67, 27.92
2.67, 27.94
2.67, 27.95
2.67, 27.96
2.67, 27.98
2.83, 27.99
2.83, 28.01
2.83, 28.02
2.83, 28.04
2.83, 28.05
2.83, 28.07
2.84, 28.08
2.83, 28.10
2.84, 28.11
2.83, 28.13
2.83, 28.14
2.84, 28.16
2.83, 28.17
2.83, 28.19
2.83, 28.20
2.83, 28.22
2.83, 28.23
2.83, 28.25
2.83, 28.26
2.83, 28.27
2.98, 28.29
2.98, 28.31
2.98, 28.32
2.99, 28.34
2.99, 28.36
2.98, 28.37
3.01, 28.39
2.98, 28.41
2.98, 28.42
2.98, 28.44
2.98, 28.45
2.98, 28.47
2.98, 28.49
2.98, 28.50
2.98, 28.52
2.98, 28.53
2.98, 28.55
2.99, 28.56
2.98, 28.58
2.97, 28.59
3.16, 28.61
3.16, 28.63
3.16, 28.65
3.07, 28.66
3.16, 28.68
3.19, 28.70
3.16, 28.72
3.16, 28.74
3.17, 28.75
3.16, 28.77
3.16, 28.79
3.17, 28.80
3.16, 28.82
3.17, 28.84
3.16, 28.86
3.16, 28.87
3.17, 28.89
3.17, 28.91
3.17, 28.92
3.09, 28.94
2.31, 28.94
1.86, 28.94
1.47, 28.93
1.16, 28.91
0.91, 28.89
0.70, 28.87
0.53, 28.84
0.40, 28.82
0.29, 28.79
0.20, 28.76
0.13, 28.73
0.08, 28.70
0.03, 28.66
0.01, 28.63
0.01, 28.60
0.01, 28.57
0.01, 28.54
0.01, 28.50
0.01, 28.47
0.01, 28.44
0.64, 28.42
0.64, 28.40
0.64, 28.38
0.64, 28.36
0.64, 28.33
0.64, 28.31
0.64, 28.29
0.64, 28.27
0.64, 28.25
0.64, 28.23
0.64, 28.21
0.64, 28.19
0.65, 28.17
0.65, 28.15
0.65, 28.13
0.66, 28.11
0.64, 28.09
0.64, 28.07
0.64, 28.05
0.64, 28.03
0.64, 28.01
0.64, 27.99
0.64, 27.97
0.64, 27.95
0.64, 27.94
0.64, 27.92
0.64, 27.90
0.64, 27.88
0.64, 27.86
0.64, 27.84
